airport,name,freq,category,subcategory,mode,region,tags,memo,lat,lon
RJTT,新空港設備,3R,AIR,地上,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,ACS羽田,3B,AIR,地上,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,エアポートカーゴサービス,3B,AIR,地上,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,セノン,3R,AIR,地上,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,ALSOK常駐警備,3B,AIR,地上,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,日通羽田グランドサービス,3R,AIR,地上,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,JALカーゴハンドリング,3B,AIR,地上,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,エアハース・インターナショナル,3B,AIR,地上,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,I-SEC Japan,3B,AIR,地上,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,JAL CAE FLIGHT TRAINING,3B,AIR,地上,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,日本空港テクノ,3R,AIR,地上,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,ロイヤル空港高速フードサービス,3R,AIR,地上,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,空港施設,3B,AIR,地上,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京国際エアカーゴターミナル,3B,AIR,地上,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京国際ターミナル,3B,AIR,地上,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,成田エアカーゴシステム,3B,AIR,地上,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,日本空港テクノ,3R,AIR,地上,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,全日警セキュリティサービス,3B,AIR,地上,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,KSP(KSP-EAST),3B,AIR,地上,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京空港交通01,373.1,AIR,地上,FM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,東京空港交通02(移動),382.95,AIR,地上,FM,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,出入国在留管理庁,3R,AIR,地上,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,VOR,117.4MHz,AIR,,TTE,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,DME,1208MHz,AIR,,TTE,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,MSAS,1575.42MHz,AIR,,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,GBAS,114.3MHz,AIR,,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,ILS-LOC 16L,111.95MHz,AIR,,IOC,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,ILS-GP 16L,330.95MHz,AIR,,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,ILS-DME 16L,1143MHz,AIR,,IOC,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,ILS-LOC 16R,111.55MHz,AIR,,ITA,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
